model,cv_best_roc_auc,accuracy,roc_auc,precision,recall,f1,confusion_matrix,best_params
xgboost,0.9927891655969895,0.9609652235628106,0.9926399545325377,0.9230769230769231,0.93048128342246,0.9267643142476698,"[[1006, 29], [26, 348]]","{'model__colsample_bytree': np.float64(0.7174250836504598), 'model__learning_rate': np.float64(0.13394334706750485), 'model__max_depth': 6, 'model__min_child_weight': 3, 'model__n_estimators': 71, 'model__reg_lambda': np.float64(1.1387059213756816), 'model__subsample': np.float64(0.9165996316800473)}"
logistic_regression,0.9926848849772139,0.9545777146912704,0.9923376992430701,0.8974358974358975,0.9358288770053476,0.9162303664921466,"[[995, 40], [24, 350]]","{'model__C': np.float64(0.9846738873614566), 'model__penalty': 'l1', 'model__solver': 'liblinear'}"
random_forest,0.935305455658968,0.8403122782114976,0.9338525924203673,0.6505050505050505,0.8609625668449198,0.7410817031070196,"[[862, 173], [52, 322]]","{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 186}"
