model,cv_best_roc_auc,accuracy,roc_auc,precision,recall,f1,confusion_matrix,best_params
xgboost,0.9932805340167455,0.9588360539389638,0.992619287504198,0.9136125654450262,0.9331550802139037,0.9232804232804233,"[[1002, 33], [25, 349]]","{'model__colsample_bytree': np.float64(0.905269907953647), 'model__gamma': np.float64(0.02837635341868618), 'model__learning_rate': np.float64(0.014413697528610409), 'model__max_depth': 7, 'model__min_child_weight': 3, 'model__n_estimators': 355, 'model__reg_alpha': np.float64(0.019539020822744748), 'model__reg_lambda': np.float64(1.7262139284006215), 'model__subsample': np.float64(0.9266084230952957)}"
lightgbm,0.9934729507731201,0.957416607523066,0.9924875351985325,0.904639175257732,0.9385026737967914,0.9212598425196851,"[[998, 37], [23, 351]]","{'model__colsample_bytree': np.float64(0.7587948587257435), 'model__learning_rate': np.float64(0.011450964268326641), 'model__max_depth': 7, 'model__n_estimators': 357, 'model__num_leaves': 124, 'model__reg_lambda': np.float64(0.014691979880907806), 'model__subsample': np.float64(0.9486212527455787)}"
logistic_regression,0.9927255166017586,0.9545777146912704,0.9923376992430701,0.8974358974358975,0.9358288770053476,0.9162303664921466,"[[995, 40], [24, 350]]","{'model__C': np.float64(0.9846738873614566), 'model__penalty': 'l1', 'model__solver': 'liblinear'}"
random_forest,0.9612215828029929,0.907735982966643,0.9579865147640084,0.801980198019802,0.8663101604278075,0.8329048843187661,"[[955, 80], [50, 324]]","{'model__bootstrap': False, 'model__max_depth': 28, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 11, 'model__n_estimators': 241}"
